APEHA COMBAT MATRIX: PASS
Experiments executed: 40/40
A01 PASS hit=0.678 dodge=0.322 block=0.490 crit=0.013 pierce=0.054 counter=0.099 dmg=3.66
A02 PASS hit=0.695 dodge=0.305 block=0.457 crit=0.016 pierce=0.098 counter=0.113 dmg=2.36
A03 PASS hit=0.724 dodge=0.276 block=0.215 crit=0.034 pierce=0.082 counter=0.035 dmg=10.14
A04 PASS hit=0.663 dodge=0.337 block=0.239 crit=0.024 pierce=0.022 counter=0.032 dmg=8.13
A05 PASS hit=0.663 dodge=0.337 block=0.535 crit=0.007 pierce=0.000 counter=0.206 dmg=2.49
A06 PASS hit=0.680 dodge=0.320 block=0.252 crit=0.031 pierce=0.023 counter=0.037 dmg=8.42
A07 PASS hit=0.630 dodge=0.370 block=0.215 crit=0.029 pierce=0.029 counter=0.027 dmg=8.08
A08 PASS hit=0.938 dodge=0.062 block=0.333 crit=0.039 pierce=0.046 counter=0.071 dmg=11.86
A09 PASS hit=0.650 dodge=0.350 block=0.223 crit=0.011 pierce=0.039 counter=0.050 dmg=3.81
A10 PASS hit=0.662 dodge=0.338 block=0.240 crit=0.025 pierce=0.017 counter=0.061 dmg=8.32
A11 PASS hit=0.724 dodge=0.276 block=0.462 crit=0.017 pierce=0.124 counter=0.126 dmg=5.16
A12 PASS hit=0.930 dodge=0.070 block=0.330 crit=0.031 pierce=0.045 counter=0.070 dmg=11.57
A13 PASS hit=0.640 dodge=0.360 block=0.230 crit=0.027 pierce=0.027 counter=0.074 dmg=7.93
B01 PASS hit=0.670 dodge=0.330 block=0.459 crit=0.011 pierce=0.070 counter=0.100 dmg=4.05
B02 PASS hit=0.638 dodge=0.362 block=0.000 crit=0.048 pierce=0.000 counter=0.000 dmg=12.53
B03 PASS hit=0.661 dodge=0.339 block=0.474 crit=0.012 pierce=0.055 counter=0.117 dmg=3.72
B04 PASS hit=0.725 dodge=0.275 block=0.463 crit=0.016 pierce=0.121 counter=0.109 dmg=5.18
B05 PASS hit=0.661 dodge=0.339 block=0.000 crit=0.042 pierce=0.000 counter=0.000 dmg=12.97
B06 PASS hit=0.657 dodge=0.343 block=0.243 crit=0.069 pierce=0.017 counter=0.058 dmg=4.67
B07 PASS hit=0.669 dodge=0.331 block=0.000 crit=0.056 pierce=0.000 counter=0.000 dmg=13.34
B08 PASS hit=0.667 dodge=0.333 block=0.000 crit=0.043 pierce=0.000 counter=0.000 dmg=13.26
B09 PASS hit=0.648 dodge=0.352 block=0.000 crit=0.038 pierce=0.000 counter=0.000 dmg=12.64
B10 PASS hit=0.644 dodge=0.356 block=0.000 crit=0.031 pierce=0.000 counter=0.000 dmg=12.45
C01 PASS hit=0.653 dodge=0.347 block=0.230 crit=0.026 pierce=0.025 counter=0.049 dmg=4.04
C02 PASS hit=0.675 dodge=0.325 block=0.250 crit=0.023 pierce=0.031 counter=0.052 dmg=8.23
C03 PASS hit=0.676 dodge=0.324 block=0.000 crit=0.046 pierce=0.000 counter=0.000 dmg=13.32
C04 PASS hit=0.662 dodge=0.338 block=0.000 crit=0.040 pierce=0.000 counter=0.000 dmg=12.85
C05 PASS hit=0.671 dodge=0.329 block=0.000 crit=0.057 pierce=0.000 counter=0.000 dmg=13.40
C06 PASS hit=0.647 dodge=0.353 block=0.000 crit=0.036 pierce=0.000 counter=0.000 dmg=12.53
C07 PASS hit=0.690 dodge=0.310 block=0.246 crit=0.021 pierce=0.026 counter=0.048 dmg=8.61
C08 PASS hit=0.680 dodge=0.320 block=0.000 crit=0.043 pierce=0.000 counter=0.000 dmg=13.30
D01 PASS hit=0.663 dodge=0.337 block=0.000 crit=0.039 pierce=0.000 counter=0.000 dmg=12.84
D02 PASS hit=0.670 dodge=0.330 block=0.000 crit=0.030 pierce=0.000 counter=0.000 dmg=12.86
D03 PASS hit=0.678 dodge=0.322 block=0.000 crit=0.044 pierce=0.000 counter=0.000 dmg=13.29
D04 PASS hit=0.720 dodge=0.280 block=0.000 crit=0.080 pierce=0.000 counter=0.000 dmg=14.16
E01 PASS hit=0.689 dodge=0.311 block=0.000 crit=0.045 pierce=0.000 counter=0.000 dmg=13.41
E02 PASS hit=0.641 dodge=0.359 block=0.000 crit=0.046 pierce=0.000 counter=0.000 dmg=12.52
E03 PASS hit=0.648 dodge=0.352 block=0.000 crit=0.039 pierce=0.000 counter=0.000 dmg=12.57
E04 PASS hit=0.667 dodge=0.333 block=0.000 crit=0.052 pierce=0.000 counter=0.000 dmg=13.10
E05 PASS hit=0.670 dodge=0.330 block=0.000 crit=0.050 pierce=0.000 counter=0.000 dmg=13.21
