factory,output_resource,work_hours,power,output_per_hour,aluminum,batteries,ganjium,poppy_straw,plastic,steel,grass,uranium
Автоматный завод АКС,АКС (р),3,4,1,0,0,55,0,0,45,76,6
Автоматный завод,АК-74 (р),3,4,1,0,0,48,0,0,55,65,6
Завод Barrett M468,Barrett M468 (р),1,60,1,250,0,650,0,0,700,0,350
Завод Beretta ARX-200,Beretta ARX-200 (р),1,60,1,250,0,650,0,0,700,0,350
Завод Desert Eagle .50,Desert Eagle .50 (р),1,2,1,0,0,28,0,0,35,12,6
Завод FN Mag,Пулемёт FN MAG (р),3,10,1,0,0,90,0,0,110,150,30
Завод FN Minimi,FN-Minimi (р),3,4,1,0,0,45,0,0,50,70,24
Завод G3,Винтовка G3 (р),3,12,1,0,0,250,0,0,190,330,72
Завод Hunter,Hunter (р),3,3,1,0,0,40,0,0,41,70,18
Завод Jackhammer,Jackhammer (р),3,9,1,0,0,210,0,0,160,310,54
Завод L96 A1,L96 A1 (р),3,4,1,0,0,40,0,0,50,55,36
Завод LSW L-86,LSW L-86 (р),3,8,1,0,0,140,0,0,175,180,48
Завод M-4 Спектр,M-4 Спектр (р),3,6,1,0,0,105,0,0,100,140,36
Завод M16,M-16 (р),3,3,1,0,0,50,0,0,40,47,21
Завод M249 SAW,пулемёт M249 SAW (р),3,10,1,0,0,235,0,0,200,340,60
Завод M40,Винтовка M40 (р),3,5,1,0,0,50,0,0,80,100,30
Завод Mauser M-86,Mauser M-86 (р),3,6,1,0,0,120,0,0,90,120,36
Завод Nova Tactical,Nova Tactical (р),3,5,1,0,0,100,0,0,90,130,30
Завод PSG-1,PSG-1 (р),3,8,1,0,0,150,0,0,120,245,48
Завод Police Rifle,Police Rifle (р),3,5,1,0,0,100,0,0,70,105,30
Завод Remington 870,Remington 870 (р),3,3,1,0,0,85,0,0,70,90,21
Завод Ruger BeerCat,Пистолет Ruger BeerCat (р),2,1,1,0,0,10,0,0,30,10,6
