factory,output_resource,work_hours,power,output_per_hour,aluminum,batteries,seaweed,ganjium,oil,plastic,steel,grass,uranium
Завод BPB Multitool,BPB Multitool (р),1,45,1,60,0,0,0,0,120,0,120,270
Завод Calico,Calico M960 (р),3,5,1,7,0,0,0,0,14,0,14,32
Завод Colt 633,Colt 633 (р),3,20,1,0,25,0,0,0,35,0,200,120
Завод FN-Fal,FN Fal (р),1,16,1,0,100,0,0,0,175,0,245,96
Завод FR-F2,FR-F2 (р),1,30,1,0,125,0,0,0,120,0,150,180
Завод Frag Grenade Mk-3,Frag Grenade Mk-3 (р),1,1,1,0,6,0,0,0,5,0,8,6
Завод GRG-48,GRG-48 (р),1,24,1,0,275,0,0,0,160,120,350,144
Завод Lexus,Lexus GX470 (р),1,40,1,0,50,300,0,0,20,130,700,240
Завод M-24 Light,M-24 (р),1,16,1,0,110,0,0,0,190,0,240,96
Завод M-60,M-60 (р),1,16,1,0,90,0,0,0,155,0,300,96
Завод OM50 Nemesis,OM50 Nemesis (р),3,30,1,43,0,0,0,0,81,0,81,182
Завод PAW-20,Гранатомёт PAW-20 (р),1,33,1,0,275,0,0,0,220,120,350,204
Завод SAR 5.56,SAR-5.56 (р),3,27,1,0,70,0,0,0,90,0,110,162
Завод SPAS 12,SPAS 12 (р),3,27,1,0,100,0,0,0,120,0,190,162
Завод STG-44,STG-44 (р),3,24,1,0,60,0,0,0,80,0,110,144
Завод Камазов,Камаз (р),1,33,1,0,10,280,0,0,20,80,600,201
Завод Катеров,Катер (р),1,4,1,0,20,0,0,0,0,24,40,24
Завод ПП GG-95,GG-95 (р),3,9,1,12,0,0,0,0,23,0,23,52
Завод ПП LF-57,LF-57 (р),3,6,1,8,0,0,0,0,16,0,16,36
Завод Печенег,Печенег (р),3,20,1,0,60,0,0,0,55,0,100,120
Завод РГ-6 «Гном»,РГ-6 «Гном» (р),1,20,1,0,170,0,0,0,130,125,300,120
Завод РГД-2,РГД-2 (р),3,1,1,0,1,0,0,7,2,0,0,6
Завод РГД-2М,РГД-2М (р),3,3,1,0,1,0,0,7,2,0,0,6
Завод РГО-1,РГО-1 (р),1,1,1,0,4,0,0,0,3,0,8,6
Завод Страйкер,Страйкер (р),1,16,1,0,240,0,0,0,140,0,210,48
Завод автоматов SG 541,SG 541 (р),3,8,1,11,0,0,0,0,20,0,20,45
Завод бронежилетов BALCS,Бронежилет BALCS (р),1,68,1,95,0,0,0,0,180,0,180,405
Завод бронежилетов CamelBak Delta,CamelBak Delta Vest (р),1,68,1,100,0,0,0,0,185,0,180,400
Завод бронежилетов SWAT,Бронежилет SWAT (р),1,70,1,100,0,0,0,0,180,0,180,400
Завод брони 4 кл.,Бронежилет 4 кл. (р),3,30,1,0,33,270,0,0,0,100,270,195
Завод брони MKT,Бронежилет МКТ (р),1,68,1,95,0,0,0,0,180,0,180,405
Завод ветромеров K4500,Ветромер K4500 (р),1,80,1,120,0,0,0,0,220,0,240,500
Завод винтовок B-94,Винтовка B-94 (р),3,33,1,0,90,0,0,0,100,0,200,201
Завод винтовок M16A2,M16A2 Heavy Gun (р),3,19,1,26,0,0,0,0,50,0,50,113
Завод винтовок SSG 2000,SSG 2000 (р),3,34,1,47,0,0,0,0,90,0,90,203
Завод винтовок SSG 3000,SSG 3000 Black (р),1,41,1,58,0,0,0,0,110,0,110,248
Завод винтовок Ultima Ratio,PGM Ultima Ratio (р),1,90,1,120,0,0,0,0,240,0,240,500
Завод гранат M67,Граната M67 (р),1,1,1,0,8,0,0,0,5,0,8,6
Завод гранат MDN,Граната MDN (р),1,1,1,0,5,0,0,0,2,0,8,3
Завод гранат Mk-8 Black Dust,Mk-8 Black Dust (р),1,1,1,0,4,0,0,0,4,0,8,6
Завод гранат ОР-1Т,ОР-1Т (р),10,1,1,0,8,0,0,0,5,0,8,6
Завод гранат РГД-5 (Z),Граната РГД-5 (р),6,1,1,0,2,0,0,0,1,0,3,6
Завод гранат РГН,РГН (р),1,1,1,0,4,0,0,0,4,0,8,6
Завод гранатомётов MM-1,MM-1 40x46mm (р),1,76,1,106,0,0,0,0,200,0,1000,450
Завод гранатомётов UBL-37,UBL-37 (р),1,41,1,58,0,0,0,0,110,0,110,248
Завод гранатомётов,Гранатомёт (р),1,20,1,0,170,0,0,0,130,125,300,120
Завод дробовиков FN SLP,FN SLP (р),1,76,1,106,0,0,0,0,200,0,200,450
Завод дробовиков M-37,M-37 (р),3,13,1,18,0,0,0,0,35,0,35,79
Завод компасов,Компас (р),1,30,1,0,132,278,0,0,0,0,275,195
Завод маркеров,Пейнтбольный маркер (р),5,1,1,0,1,0,0,0,2,0,3,6
Завод ноутбуков Toughbook,Toughbook (р),1,45,1,60,0,0,0,0,110,0,120,265
Завод пластика,Пластик,6,1,1,0,0,24,0,6,0,0,0,6
Завод пулемётов AR70,AR70/84 «Beretta» (р),3,31,1,44,0,0,0,0,83,0,83,187
Завод пулемётов MG-3,Пулемёт MG-3 (р),3,25,1,0,40,0,0,0,70,0,180,150
Завод пулемётов Rising Sun,Rising Sun T62 (р),3,28,1,39,0,0,0,0,75,0,75,169
Завод пулемётов SAW Airsoft,SAW Airsoft MG (р),1,1,1,0,0,0,0,0,1,0,1,1
Завод пулемётов Type 95,Type 95 MG (р),3,7,1,10,0,0,0,0,18,0,18,41
Завод пулемётов ZB 53,Пулемёт ZB 53 (р),1,34,1,47,0,0,0,0,90,0,90,203
Завод смартфонов GanjaPhone,GanjaPhone (р),1,60,1,95,0,0,0,0,180,0,180,350
Завод тепловизоров DVS,Тепловизор DVS-100 (р),1,38,1,53,0,0,0,0,100,0,100,225
Завод тепловизоров NL 90,Тепловизор NL 90 (р),1,45,1,63,0,0,0,0,115,0,121,265
Завод тепловизоров PVS,Тепловизор PVS-15 (р),1,45,1,63,0,0,0,0,120,0,120,270
Завод тепловизоров Thales,Тепловизор Thales Lucie (р),1,45,1,63,0,0,0,0,118,0,125,265
Завод титановых касок,Титановая каска (р),1,18,1,0,22,55,0,0,0,25,57,108
Завод установок M202,M202 FLASH (р),1,24,1,0,275,0,0,0,160,120,350,144
Завод шлемов 4 кл.,Шлем 4 кл. (р),3,20,1,0,32,120,0,0,0,42,100,120
Завод шлемов FAST-X,Шлем FAST-X (р),1,24,1,0,275,0,0,0,160,120,350,144
Завод шлемов IHPS,IHPS Helmet (р),1,60,1,0,264,556,0,0,0,0,550,390
Картофелемётный завод (Z),Картофелемёт (р),6,1,1,0,1,0,0,0,1,0,12,6
Каучуковая фабрика,Резина,9,1,1,0,0,24,0,9,0,0,0,6
Оружейный завод Phantom 812,Phantom 812 (р),1,76,1,106,0,0,0,0,260,0,200,450
Оружейный завод SRM 1216,SRM 1216 (р),1,76,1,106,0,0,0,0,260,0,200,450
Оружейный завод ТОЗ-194,ТОЗ-194 (р),3,19,1,26,0,0,0,0,50,0,50,113
Рогаточная мастерская (Z),Рогатка (р),6,1,1,0,1,0,0,0,2,0,1,6
Судовые верфи (паром),Паром (р),1,16,1,0,140,0,0,0,0,190,380,48
Табачная фабрика,Табак,1,1,1,0,0,0,2,0,2,0,0,38
Фабрика Alpine Camo,Alpine Camo (р),1,55,1,72,0,0,0,0,135,0,135,300
Фабрика Heavy Vega Armour,Heavy Vega Armour (р),1,76,1,106,0,0,0,0,200,0,200,460
Фабрика PMX 9x19,PMX 9x19 (р),1,50,1,65,0,0,0,0,180,0,130,300
Фабрика Remington 700,Remington 700 VTR (р),3,21,1,29,0,0,0,0,55,0,55,124
Фабрика S9 SMG .45,S9 SMG .45 (р),1,50,1,65,0,0,0,0,250,0,130,300
Фабрика i-Vision [ 1 ],i-Vision (р),1,20,1,0,100,0,0,0,100,0,100,120
Фабрика ЗПК Кремень,ЗПК Кремень (р),1,60,1,100,0,0,0,0,175,0,175,450
Фабрика ПП Gilboa A.P.R.,Gilboa A.P.R. (р),1,50,1,65,0,0,0,0,120,0,130,300
Фабрика ПП MAS-38,MAS-38 (р),3,11,1,15,0,0,0,0,28,0,28,63
Фабрика ПП Suomi,Suomi M-1931 (р),3,18,1,25,0,0,0,0,47,0,47,106
Фабрика ПП Walther MPL,Walther MPL (р),1,19,1,26,0,0,0,0,50,0,50,113
Фабрика Фляг TF-141,Фляга TF-141 (р),1,16,1,0,90,0,0,0,150,0,305,96
Фабрика автоматов Enfield,Enfield L1A1 (р),3,6,1,9,0,0,0,0,17,0,17,38
Фабрика ботинок SWAT Tactical,Ботинки SWAT Tactical (р),1,16,1,0,90,0,0,0,150,0,310,96
Фабрика ботинок Special Field,Ботинки Special Field (р),1,16,1,0,100,0,0,0,150,0,290,96
Фабрика ботинок Vanguard,Ботинки Vanguard (р),1,41,1,58,0,0,0,0,110,0,110,248
Фабрика бронебойных комплектов,Бронебойный комплект,1,15,1,20,0,0,0,0,6,0,10,2
Фабрика бронежилетов HAV,Бронежилет HAV (р),1,110,1,144,0,0,0,0,270,0,270,600
Фабрика винтовок CZ 527,CZ 527 Varmint (р),3,7,1,10,0,0,0,0,18,0,18,41
Фабрика винтовок FARA-83,FARA 83 (р),1,38,1,53,0,0,0,0,100,0,100,225
Фабрика винтовок Gepard M3,Gepard M3 (р),1,112,1,158,0,0,0,0,300,0,300,676
Фабрика винтовок M-76,M-76 (р),3,25,1,35,0,0,0,0,67,0,67,151
Фабрика винтовок M14,M14 (р),3,30,1,42,0,0,0,0,80,0,80,180
Фабрика винтовок SR-100,SR-100 (р),1,112,1,158,0,0,0,0,300,0,300,676
Фабрика винтовок TRW,TRW LMR (р),3,24,1,34,0,0,0,0,65,0,65,146
Фабрика винтовок Vapensmia,Vapensmia 149-F1 (р),3,6,1,9,0,0,0,0,17,0,17,38
Фабрика гранат Mk-7,Mk-7 Frag Grenade (р),1,2,1,3,0,0,0,0,6,0,6,12
Фабрика гранат R10 HG,R10 HG (р),3,9,1,0,3,0,0,21,6,0,0,18
Фабрика гранатомётов GL1-S,GL1-S (р),1,38,1,53,0,0,0,0,100,0,100,225
Фабрика гранатомётов GL1,GL1 (р),1,38,1,53,0,0,0,0,100,0,100,225
Фабрика костюмов Alpenflage,Костюм Alpenflage (р),1,54,1,70,0,0,0,0,125,0,128,310
Фабрика масок штурмовика,Маска штурмовика (р),1,16,1,0,95,0,0,0,150,0,300,96
Фабрика модулей скорострельности,Модуль скорострельности,1,15,1,22,0,0,0,0,8,0,10,2
Фабрика обуви Viper Patrol,Ботинки Viper Patrol (р),1,40,1,60,0,0,0,0,110,0,110,250
Фабрика поясов UBS-1,Пояс UBS-1 (р),1,54,1,75,0,0,0,0,150,0,150,330
Фабрика пулемётов Lewis,Lewis MG (р),3,6,1,8,0,0,0,0,15,0,15,34
Фабрика раций Falcon,Рация Falcon (р),1,65,1,100,0,0,0,0,200,0,160,400
Фабрика сувенирных патронов,Сувенирный патрон (р),1,30,1,0,133,270,0,0,0,0,270,195
Фабрика тепловизоров IR-Tec,Тепловизор IR-Tec (р),1,40,1,0,150,0,0,0,90,0,200,240
Фабрика тепловизоров IRT-7 [ 1 ],Тепловизор IRT-7 (р),1,20,1,0,100,0,0,0,43,0,100,120
Фабрика фляг HDF1,Фляга HDF1 (р),1,1,1,0,4,0,0,0,3,0,8,6
Фабрика шлемов ACE,ACE Helmet (р),1,49,1,68,0,0,0,0,130,0,130,293
Фабрика шлемов MA-1,Шлем МА-1 (р),1,45,1,63,0,0,0,0,120,0,120,270
Фабрика шлемов MICH-2000,Шлем MICH 2000 (р),1,54,1,75,0,0,0,0,150,0,150,330
Фабрика шлемов MICH,MICH Helmet (р),1,36,1,50,0,0,0,0,95,0,95,214
Фабрика шлемов Mk7,Лёгкий шлем Mk-7 (р),1,38,1,53,0,0,0,0,100,0,100,225
Фабрика штурмовых поясов,Штурмовой пояс (р),1,49,1,68,0,0,0,0,130,0,130,293
Цех GPS Навигаторов [ 1 ],GPS Навигатор (р),1,4,1,0,18,0,0,0,0,20,30,24
Цех ПП Ingram,Ingram M6 (р),3,19,1,26,0,0,0,0,50,0,50,113
Цех автоматов CZ SA,CZ SA Vz.58 (р),3,34,1,47,0,0,0,0,90,0,90,203
Цех больших рюкзаков,Большой рюкзак (р),1,9,1,0,11,28,0,0,0,12,28,54
Цех ботинок Alpingarde,Ботинки Alpingarde (р),1,62,1,84,0,0,0,0,161,0,155,360
Цех ботинок Forestmaster,Ботинки Forestmaster (р),1,56,1,79,0,0,0,0,150,0,150,338
Цех ботинок Lockhood,Ботинки Lockhood (р),1,16,1,0,240,0,0,0,140,0,210,48
Цех ботинок Warlord,Ботинки Warlord (р),1,41,1,58,0,0,0,0,126,0,110,248
Цех ботинок Коммандос,Ботинки Коммандос (р),1,41,1,58,0,0,0,0,110,0,110,248
Цех брони 7 класса,Броня 7 кл. (р),1,60,1,84,0,0,0,0,160,0,160,360
Цех брони OTV,OTV Armour (р),1,56,1,79,0,0,0,0,150,0,150,338
Цех десантных шлемов,Десантный шлем (р),3,15,1,0,22,120,0,0,0,42,100,93
Цех защитных очков [ 1 ],Защитные очки (р),3,2,1,0,10,0,0,0,7,0,10,12
Цех комплектов брони ног,Комплект брони ног,1,8,1,10,10,0,15,0,10,0,0,0
Цех маскхалатов Ghost,Маскхалат Ghost (р),1,65,1,80,0,0,0,0,160,0,160,360
Цех наушников «Desert Hunter»,Наушники «Desert Hunter» (р),1,45,1,63,0,0,0,0,120,0,120,270
Цех производства фляг,Фляга с виски (р),1,30,1,0,130,280,0,0,0,0,280,195
Цех пустынных камуфляжей,Пустынный камуфляж (р),1,56,1,79,0,0,0,0,150,0,150,338
Цех раций RadioRanger,Рация RadioRanger (р),1,60,1,100,0,0,0,0,175,0,175,450
Цех тепловизоров GSCI TIG-7,GSCI TIG-7 (р),1,55,1,79,0,0,0,0,150,0,150,320
Цех тепловизоров XTS-R,Тепловизор XTS-R (р),1,55,1,79,0,0,0,0,130,0,150,320
Цех фонарей WL-21,Фонарь WL-21 (р),1,60,1,100,0,0,0,0,175,0,175,450
